Общая площадь,Цена,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
45.0,29500.0,74.6298,хорошее,42.8844,1.0,9.0,106 серия улучшенная,5.0,,совмещенный,частично меблирована,центральное,от собственника
87.0,90000.0,74.6003,евроремонт,42.8822,3.0,13.0,элитка,7.0,,раздельный,полностью меблирована,центральное,от собственника
64.0,46400.0,74.5554,хорошее,42.8651,3.0,9.0,105 серия,3.0,,,частично меблирована,центральное,от собственника
58.0,38000.0,74.6207,хорошее,42.8677,3.0,5.0,104 серия,5.0,,совмещенный,частично меблирована,центральное,от собственника
68.0,45000.0,74.569,хорошее,42.8336,3.0,5.0,105 серия,1.0,,раздельный,,,от собственника
50.0,41500.0,74.6012,хорошее,42.8319,2.0,5.0,105 серия,2.0,,,,центральное,от собственника
36.0,24000.0,74.6279,требует ремонта,42.8342,1.0,5.0,индивид. планировка,4.0,,совмещенный,пустая,центральное,от агента
55.0,53500.0,74.5848,евроремонт,42.8682,2.0,9.0,элитка,7.0,,,полностью меблирована,центральное,от собственника
75.0,57500.0,74.6327,евроремонт,42.8697,2.0,9.0,элитка,9.0,2019.0,,полностью меблирована,центральное,от собственника
97.0,55000.0,74.5648,под самоотделку (псо),42.8302,3.0,13.0,элитка,11.0,,,,центральное,от собственника
55.0,44500.0,74.5833,евроремонт,42.8245,2.0,4.0,элитка,2.0,,,,автономное,от агента
67.0,49000.0,74.6417,евроремонт,42.8462,2.0,9.0,105 серия улучшенная,5.0,2019.0,раздельный,полностью меблирована,электрическое,от агента
73.0,43070.0,74.5817,под самоотделку (псо),42.8821,2.0,12.0,элитка,7.0,,,,центральное,от собственника
44.0,27000.0,74.6929,хорошее,42.8713,1.0,9.0,105 серия улучшенная,3.0,,совмещенный,полностью меблирована,центральное,от собственника
63.0,44000.0,74.5883,черновая отделка,42.8626,2.0,12.0,элитка,8.0,2019.0,2 с/у и более,пустая,центральное,от собственника
47.0,35000.0,74.5542,хорошее,42.8652,2.0,5.0,индивид. планировка,3.0,1978.0,раздельный,частично меблирована,центральное,от собственника
35.0,31000.0,74.5832,евроремонт,42.869,1.0,5.0,индивид. планировка,5.0,,совмещенный,пустая,центральное,от собственника
36.0,28000.0,74.5659,хорошее,42.8373,1.0,12.0,индивид. планировка,5.0,2013.0,совмещенный,,,от собственника
70.0,32800.0,74.5344,евроремонт,42.8869,2.0,5.0,106 серия улучшенная,2.0,2019.0,раздельный,полностью меблирована,электрическое,от собственника
75.0,50250.0,74.6318,,42.8334,2.0,12.0,элитка,11.0,,раздельный,,центральное,от собственника
125.0,112500.0,74.5786,,42.9082,3.0,10.0,индивид. планировка,8.0,,,,,от собственника
112.0,128800.0,74.6165,,42.8219,3.0,10.0,индивид. планировка,2.0,,,,центральное,от агента
61.0,57000.0,74.5644,евроремонт,42.8434,2.0,11.0,элитка,8.0,,раздельный,,центральное,от собственника
65.0,41000.0,74.6038,,42.8193,3.0,10.0,элитка,5.0,2022.0,,,на газе,от собственника
100.0,80000.0,74.6038,,42.8193,3.0,10.0,элитка,3.0,2022.0,,,на газе,от собственника
220.0,253000.0,74.6156,,42.8242,5.0,12.0,элитка,12.0,2015.0,,,центральное,от агента
220.0,195000.0,74.5813,,42.8771,4.0,10.0,индивид. планировка,9.0,,,,центральное,от собственника
58.0,49500.0,74.6431,хорошее,42.8392,2.0,10.0,индивид. планировка,6.0,2020.0,раздельный,пустая,на газе,от собственника
20.0,13500.0,74.5223,хорошее,42.8753,1.0,4.0,малосемейка,3.0,,,,,от собственника
67.0,37000.0,74.5628,под самоотделку (псо),42.8429,2.0,9.0,106 серия улучшенная,6.0,2020.0,раздельный,пустая,центральное,от агента
18.0,14000.0,74.585,хорошее,42.846,1.0,5.0,малосемейка,5.0,1989.0,,пустая,центральное,от собственника
60.0,36500.0,74.6938,евроремонт,42.8709,2.0,10.0,106 серия улучшенная,9.0,1990.0,раздельный,частично меблирована,центральное,от агента
