,Общая площадь,Долгота,Состояние,Широта,Количество комнат,Количество просмотров,Всего этажей,Серия,Этаж,Длина описания,Год постройки,Высота потолков,Мебель,Возможность обмена,Отопление,Тип предложения,Санузел,кондиционер
176,82.0,74.5929,1372,42.8657,2.0,68,10.0,2728,7.0,335,-999.0,3.0,716,3843,4104,3143,2341,0
177,58.0,74.6143,1510,42.8327,3.0,104,4.0,374,1.0,257,-999.0,-999.0,3131,3843,4104,3143,2341,0
178,62.0,74.6181,1510,42.835,3.0,92,9.0,473,9.0,305,-999.0,-999.0,3131,3843,4104,3143,1775,0
179,80.0,74.637,1372,42.8763,2.0,83,14.0,2728,9.0,462,-999.0,3.0,3131,3843,4104,3143,2341,0
180,35.0,74.6351,1510,42.8685,1.0,77,5.0,473,3.0,276,-999.0,-999.0,3131,3843,4104,3143,2341,0
181,62.0,74.6129,338,42.8264,3.0,136,9.0,473,8.0,664,-999.0,-999.0,1148,3843,4104,3143,1775,0
182,36.0,74.6914,338,42.8539,1.0,162,9.0,473,9.0,289,-999.0,-999.0,3131,3843,4104,3143,1229,0
183,50.0,74.5655,338,42.8396,2.0,102,5.0,473,2.0,267,-999.0,-999.0,3131,3843,4104,3143,2341,0
184,58.0,74.6129,1510,42.8326,3.0,157,4.0,374,1.0,596,-999.0,-999.0,771,3843,4104,3143,1229,0
185,34.0,74.5679,1510,42.8463,1.0,160,9.0,473,9.0,275,-999.0,-999.0,3131,3843,4104,3143,2341,0
186,34.0,74.6205,338,42.8702,1.0,210,5.0,473,2.0,375,-999.0,-999.0,3131,3843,4104,3143,2341,0
187,45.0,74.6298,1510,42.8844,1.0,406,9.0,208,5.0,458,-999.0,-999.0,1148,3843,4104,3143,1229,0
188,87.0,74.6003,1372,42.8822,3.0,269,13.0,2728,7.0,867,-999.0,3.2,771,3843,4104,3143,1775,0
189,64.0,74.5554,1510,42.8651,3.0,262,9.0,473,3.0,560,-999.0,-999.0,1148,3843,4104,3143,2341,0
