Общая площадь,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
35.0,74.6087,1257,42.8345,2.0,4.0,1189,1.0,-999.0,2353,3131,4104,3143
52.0,74.5679,1510,42.8376,2.0,9.0,519,7.0,-999.0,1775,1148,4104,2623
57.0,74.6358,1257,42.8111,2.0,9.0,2731,4.0,-999.0,2353,3131,4104,3143
112.0,74.6331,1510,42.8442,3.0,9.0,519,3.0,-999.0,2353,3131,4104,3143
72.0,74.6379,338,42.8168,3.0,9.0,519,7.0,-999.0,1775,3131,4104,2623
54.5,74.5682,1372,42.8454,2.0,10.0,2731,5.0,2013.0,1229,1148,4104,3143
105.0,74.6077,1510,42.8595,3.0,7.0,2731,7.0,2010.0,1775,771,4104,2623
36.0,74.6345,1510,42.8682,1.0,9.0,530,2.0,-999.0,1229,1148,4104,3143
130.0,74.5833,1372,42.8815,3.0,9.0,2731,8.0,-999.0,1775,771,4104,3143
43.0,74.595,1372,42.8476,2.0,5.0,165,2.0,-999.0,2353,771,4104,2623
80.0,74.5344,1257,42.8887,3.0,3.0,1189,2.0,2010.0,2353,3131,867,2623
48.42,74.6382,1257,42.8505,2.0,9.0,2731,8.0,-999.0,2353,3131,867,2623
53.0,74.63,1257,42.8181,2.0,9.0,519,5.0,1990.0,2353,3131,4104,2623
53.0,74.6327,1372,42.8519,2.0,9.0,1189,4.0,2017.0,1775,1148,4104,2623
68.0,74.6351,1257,42.8424,3.0,9.0,519,3.0,-999.0,2353,3131,4104,3143
63.41,74.564,1257,42.8726,2.0,10.0,2731,3.0,-999.0,2353,3131,4104,3143
81.5,74.5836,1257,42.8717,4.0,5.0,1189,5.0,1976.0,2353,3131,867,2623
45.0,74.6338,1510,42.8496,1.0,9.0,519,3.0,2013.0,1229,3131,4104,2623
120.0,74.5971,1372,42.8653,3.0,9.0,2731,9.0,-999.0,1775,771,4104,2623
53.81,74.6145,939,42.8679,1.0,14.0,2731,10.0,-999.0,409,3131,867,3143
42.0,74.5847,1510,42.8408,2.0,4.0,165,3.0,-999.0,2353,3131,4104,3143
